competitions_id,teamId,team_rank,totalTeams,profile_id_str,flags,team_capacity,members_num,avg_abi,avg_qua,avg_par,country_num
14652,3340302,44,1475,vishnus;manu845;jesucristo;dinghysora,1,97.02 ,4,4.38 ,1388.00 ,30.00 ,3
14774,3340350,223,2931,leensman500;blackitten13,1,92.39 ,2,0.83 ,1715.00 ,29.00 ,1
14313,3340561,720,2749,welgum;devvindan;veryniceuser,1,73.81 ,3,0.80 ,1064.33 ,12.33 ,1
14652,3340908,10,1475,deyury;dempton,1,99.32 ,2,4.37 ,2057.50 ,25.50 ,2
14420,3340953,46,866,akravchuk97;lizmisha,1,94.69 ,2,0.84 ,1163.50 ,19.00 ,1
14774,3341402,853,2931,takedown;magamine,1,70.90 ,2,0.19 ,766.50 ,7.50 ,1
14774,3341573,119,2931,dsalex;boykoaa,1,95.94 ,2,1.59 ,1838.00 ,19.00 ,1
14420,3341604,55,866,tkm2261;tebasaki1,1,93.65 ,2,2.32 ,1400.00 ,20.00 ,1
14774,3341944,123,2931,izmaylov;atanasova;interneuron;ivanpan,1,95.80 ,4,3.71 ,1602.00 ,41.25 ,3
14774,3341960,901,2931,mbonardi;jmourad100,1,69.26 ,2,1.11 ,1009.50 ,42.50 ,2
14774,3343002,1503,2931,chinta;kainsama,1,48.72 ,2,3.67 ,1693.50 ,36.00 ,2
14774,3343015,586,2931,onurcopur;nakip0907,1,80.01 ,2,0.18 ,1468.00 ,9.00 ,2
5056,334309,1479,1971,wpchristina;seanlau,1,24.96 ,2,0.01 ,2243.50 ,1.00 ,1
14774,3343352,1523,2931,hamzatrq;usamak,1,48.04 ,2,0.03 ,1208.50 ,1.00 ,1
3316,33436,108,474,vielauge;clash86374,1,77.22 ,2,0.02 ,3198.50 ,3.50 ,2
2467,3344,83,354,danieljensen;greg46163,1,76.55 ,2,0.16 ,3740.00 ,1.00 ,1
14774,3344179,1188,2931,neodymium;framoni;giaco91b;mylock51,1,59.47 ,4,0.05 ,901.00 ,2.50 ,2
14420,3344367,11,866,cutlass90;ddanevskyi;vshmyhlo;dempton;orgunova,1,98.73 ,5,3.60 ,1748.40 ,16.40 ,2
14652,3344465,148,1475,mpsampat;peterzheng,1,89.97 ,2,1.46 ,2075.00 ,24.00 ,1
14774,3344466,860,2931,mpsampat;sairam6087,1,70.66 ,2,0.87 ,1868.00 ,23.50 ,1
14774,3345020,2116,2931,realdeo;codefire52,1,27.81 ,2,0.09 ,1727.50 ,15.00 ,1
15062,3345090,33,927,fujibo;angelecarre,1,96.44 ,2,0.89 ,1355.00 ,10.50 ,1
14315,3345354,26,558,r3dfear;dracula2511,1,95.34 ,2,0.81 ,735.00 ,7.00 ,1
14774,3345786,1117,2931,ananthbv;spattanayak,1,61.89 ,2,0.01 ,2146.50 ,2.50 ,1
14774,3345810,1955,2931,akash2sharma;navin281214,1,33.30 ,2,0.04 ,890.50 ,3.00 ,1
14774,3346017,880,2931,hengzheng;supportvectordevin,1,69.98 ,2,2.16 ,1104.00 ,25.00 ,1
15062,3346177,16,927,jiujing23333;far001;qiaojian;buaazijian;meistermorxrc,1,98.27 ,5,2.88 ,1212.60 ,12.40 ,1
14420,3346257,559,866,danlingma;vivaroma,1,35.45 ,2,0.34 ,871.00 ,13.00 ,1
5048,334635,5,1438,sushize;godaibo;nuszeng,1,99.65 ,3,11.08 ,2262.33 ,45.33 ,2
14420,3346448,7,866,yuval6967;zaharch,1,99.19 ,2,5.52 ,1086.50 ,15.50 ,2
5056,334657,4,1971,stasg7;utility,1,99.80 ,2,18.93 ,2520.50 ,38.00 ,1
14774,3346579,346,2931,nero16;cumulx,1,88.20 ,2,0.04 ,723.00 ,4.50 ,1
14774,3346933,2117,2931,yugal09;jayantsa,1,27.77 ,2,0.04 ,1988.00 ,3.00 ,1
14652,3347207,11,1475,drn01z3;vladimirgroza,1,99.25 ,2,8.48 ,1787.00 ,40.00 ,2
14774,3347497,2460,2931,murugeshmarvel;karan07,1,16.07 ,2,0.04 ,1532.00 ,3.00 ,1
14420,3348092,22,866,cooleel;mingzhao03,1,97.46 ,2,1.65 ,1129.50 ,12.50 ,1
14774,3348097,253,2931,hansol1sol;neocorleone,1,91.37 ,2,0.59 ,907.50 ,10.50 ,1
15062,3348127,244,927,lovedm;wyldream;longyin2;willinseu,1,73.68 ,4,2.79 ,1287.25 ,14.75 ,1
15062,3348272,390,927,eliseygusev;nevermo;ayakovenko,1,57.93 ,3,0.21 ,982.67 ,11.33 ,1
14774,3348295,218,2931,gzuidhof;lorepep,1,92.56 ,2,1.43 ,1655.50 ,5.50 ,1
15062,3348687,227,927,lucamassaron;pietromarinelli;galeone;serigne,1,75.51 ,4,9.45 ,2453.25 ,91.00 ,2
14774,3348917,1860,2931,danlingma;vivaroma,1,36.54 ,2,0.34 ,871.00 ,13.00 ,1
14420,3349194,26,866,lintseju;lin4mation,1,97.00 ,2,0.82 ,2779.00 ,7.50 ,2
15062,3349217,11,927,seefun;jionie;leonshangguan;helenkth;hua1996,1,98.81 ,5,2.15 ,1062.00 ,16.20 ,3
14313,3349961,1101,2749,marshi;nakagawana11,1,59.95 ,2,0.79 ,1225.50 ,5.00 ,1
14774,3350140,186,2931,abhinav1992;monsterspy;vishwa34;rednivrug,1,93.65 ,4,0.38 ,1530.75 ,10.00 ,1
5174,335124,44,546,dsalex;sh1ngg,1,91.94 ,2,2.41 ,2657.50 ,15.00 ,2
14652,3351675,117,1475,rifatjahanazad;tasnimfatima,1,92.07 ,2,0.29 ,1353.00 ,7.50 ,1
14420,3351762,19,866,weimin;zfturbo,1,97.81 ,2,19.18 ,2267.00 ,81.00 ,2
14420,3351927,81,866,dsalex;comratvlad;bolkonsky,1,90.65 ,3,3.54 ,1875.67 ,21.67 ,1
14774,3352979,1580,2931,theodoreanthony;univer8,1,46.09 ,2,0.03 ,1156.00 ,1.00 ,1
14774,3353923,187,2931,yurishafet;pyotam,1,93.62 ,2,0.74 ,1819.00 ,17.00 ,1
14774,3354043,292,2931,amritkumar;sujeethdonnie,1,90.04 ,2,0.18 ,770.00 ,1.00 ,1
14774,3354310,2580,2931,napnep;sai2325,1,11.98 ,2,0.06 ,768.00 ,3.50 ,1
14420,3354369,461,866,afajohn;kirbiyik;enisimsar,1,46.77 ,3,1.10 ,1382.00 ,8.67 ,1
14420,3354526,65,866,atanasova;artyomp;interneuron;ivanpan,1,92.49 ,4,3.85 ,1101.75 ,38.75 ,4
14652,3354940,152,1475,fernandocamargo;piovan,1,89.69 ,2,0.42 ,1270.00 ,7.00 ,1
14774,3355226,1996,2931,arsalminhaji;iamsiraj,1,31.90 ,2,0.05 ,1653.50 ,5.50 ,1
